title,description,release,cover,author_ids,category_ids,price,oneStarCount,twoStarCount,threeStarCount,fourStarCount,fiveStarCount
Middlemarch,"""Middlemarch"" by George Eliot is a novel written in the mid-19th century that explores the lives and interactions of residents in a provincial English town. The story primarily centers around Dorothea Brooke, a young woman with high ideals and aspirations for a meaningful life, who grapples with her search for love and purpose amid societal expectations. The novel addresses themes of marriage, ambition, and the intersection of personal and social values in a rapidly changing world.  At the start of the novel, we are introduced to Miss Brooke, who is depicted as a strikingly beautiful and intelligent young woman, yet may be seen as eccentric due to her lofty aspirations and disregard for societal norms. She lives with her sister Celia and their uncle, Mr. Brooke, in a quiet country house, harboring dreams of making a significant impact on the world. As the opening chapters unfold, we see her rejection of traditional feminine pursuits and her desire to be with a man of intellect who can match her aspirations. Important characters such as the learned Reverend Edward Casaubon and the kind Sir James Chettam emerge, each representing different paths and values that will challenge Dorothea in her quest for fulfillment. The complexities of their interactions are foreshadowed early on, setting the stage for a rich exploration of human relationships and personal growth. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/145/pg145.cover.medium.jpg,1,84|85|3|87|30|31|3|33|90|3|38|3,33,35,38,194,348,455
"Little Women; Or, Meg, Jo, Beth, and Amy","""Little Women; Or, Meg, Jo, Beth, and Amy"" by Louisa May Alcott is a classic novel written in the mid-19th century. The story revolves around the lives and experiences of four sisters—Meg, Jo, Beth, and Amy March—as they navigate the challenges of growing up in a modest household during the American Civil War. The novel explores themes of family, sacrifice, and the pursuit of personal dreams, showcasing the distinct personalities and aspirations of each sister.  The opening of the book introduces readers to the March sisters, who are grappling with their financial struggles and longing for a more comfortable life. As they gather around the fire to express their frustrations about being poor, their mother reinforces the idea that they should embrace gratitude and make sacrifices for those suffering during the war, particularly their father, who is away serving as a chaplain. This chapter sets the tone for the sisters' individual journeys, highlighting their different approaches to hardship—Meg longs for material wealth, Jo is a spirited tomboy who craves independence, Beth is the gentle peacemaker, and Amy is the aspiring artist concerned with appearances. Through their interactions and hopes, Alcott paints a vivid picture of their lives, filled with warmth, humor, and the bonds of sisterhood. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/37106/pg37106.cover.medium.jpg,1,94|84|30|95|96|3|98|3|100|3|96|3|34|3|38|3,29,9,34,103,469,357
A Room with a View,"""A Room with a View"" by E. M. Forster is a novel written during the early 20th century, which explores themes of social conventions and personal freedom. Set primarily in Italy and England, the narrative follows the journey of Lucy Honeychurch, a young woman navigating her feelings about love, societal expectations, and her own desires against the backdrop of her experiences abroad.  The opening of the story introduces the character of Lucy and her cousin Charlotte Bartlett as they arrive at the Pension Bertolini in Florence. Disappointed by the accommodation’s lack of a promised view, they bicker about their arrangements. Lucy's eagerness to experience Italy conflicts with Charlotte's more cautious demeanor. Here, the reader meets Mr. Emerson and his son George, who challenge the norms of polite society, offering their rooms to Lucy and Charlotte out of kindness, which Charlotte initially declines. The tension between personal desires and societal expectations is palpable, setting the stage for Lucy's internal conflict and her eventual blossoming into independence and self-discovery. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/2641/pg2641.cover.medium.jpg,1,108|109|3|31|3|113|3|115|38|3,18,277,484,362,200,258
The Picture of Dorian Gray,"""The Picture of Dorian Gray"" by Oscar Wilde is a novel written during the late 19th century. The story explores themes of art, beauty, and morality, centering on the life of a young man named Dorian Gray, who becomes entranced by his own beauty and the hedonistic philosophies of Lord Henry Wotton. As Dorian gains fame and pleasure through his youthful looks, he grapples with the implications of vanity and the cost of immortality.  At the start of the novel, we are introduced to Lord Henry Wotton and the artist Basil Hallward, who has painted a stunning portrait of Dorian Gray. Basil is deeply enamored with Dorian's beauty and harbors a secret affection for him. The opening chapters establish the dynamic between Lord Henry's cynical worldview and Basil's idealism, culminating in Dorian's arrival in the studio. Dorian's first encounter with Lord Henry sparks a transformative moment; as they converse, Dorian is exposed to Henry’s hedonistic philosophies, which shape his perception of beauty and life. The chapter sets a tone that hints at the foreboding price Dorian may pay for his fascination with youth and aesthetic pleasure. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/174/pg174.cover.medium.jpg,1,118|3|120|3|87|122|123|124|3|126|123|128|3|130|131|3|133|3,10,368,177,498,141,112
The Blue Castle: a novel,"""The Blue Castle"" by L. M. Montgomery is a novel written in the early 20th century. The story centers around Valancy Stirling, a nearly thirty-year-old woman who feels trapped in her life as an unmarried woman in a family that shows little regard for her. The opening of the novel introduces Valancy's bleak existence, characterized by a suffocating home life and a longing for romance and meaning that she has never experienced.  At the start of the book, Valancy awakens on a rainy morning weighed down by her impending birthday and the realization of her unfulfilled life. As she reflects on her circumstances, the reader gains insight into her despair and her dreams of an idealized life represented by her fantastical ""Blue Castle."" She feels oppressed by her family's expectations and by her status as a ""hopeless old maid."" Valancy's introspection reveals both her sense of humor and her deep-rooted sorrow, setting the stage for the profound changes that her impending fate may bring. The subsequent narrative promises to explore themes of self-discovery and rebellion against familial constraints as Valancy contemplates her situation. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/67979/pg67979.cover.medium.jpg,1,135|123|137|3|139|3|141|3|143|144|3|146|3|148,19,133,47,129,204,375
The Strange Case of Dr. Jekyll and Mr. Hyde,"""The Strange Case of Dr. Jekyll and Mr. Hyde"" by Robert Louis Stevenson is a novella written during the late 19th century that delves into the duality of human nature and the struggle between good and evil. The narrative follows Mr. Utterson, a lawyer, as he investigates the mysterious relationship between his friend, Dr. Jekyll, and the sinister Mr. Hyde, uncovering dark secrets that test the boundaries of morality.  At the start of the novella, we meet Mr. Utterson and his distant cousin, Mr. Enfield, who discuss a strange door that Enfield associates with a disturbing story about Hyde trampling a young girl and displaying an unsettling demeanor. Utterson becomes increasingly intrigued by Hyde, especially when he discovers that Hyde stands to inherit Jekyll's wealth upon the doctor's disappearance. The text evokes a sense of foreboding as Utterson grapples with his concerns for Jekyll's welfare while unraveling the enigma surrounding Hyde, whose appearance elicits an inexplicable sense of dread. As the tale unfolds, it sets the stage for a profound exploration of identity, shame, and the darker aspects of human behavior. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/43/pg43.cover.medium.jpg,1,7|126|3|151|3|153|3|18|10|155|3,21,466,251,292,388,383
The Enchanted April,"""The Enchanted April"" by Elizabeth Von Arnim is a novel written in the early 20th century. The story revolves around four women who seek a transformative escape from their mundane lives in cold, rainy England to the alluring sunshine of a mediaeval castle in Italy. The main characters introduced are Mrs. Wilkins and Mrs. Arbuthnot, both of whom are discontented with their respective circumstances and longing for a change.  At the start of the novel, Mrs. Wilkins, feeling trapped in her drab life, stumbles upon an advertisement for a rental castle in Italy while at a Women's Club in London. Drawn to the idea of warmth and beauty, she impulsively starts a conversation with the similarly yearning Mrs. Arbuthnot. As they discuss the advertisement, an unexpected bond forms, leading them to consider sharing the castle with two other women to make the plan financially feasible. This opening sets the stage for an uplifting journey where the characters’ quest for personal joy and freedom unfolds against the backdrop of picturesque Italy, suggesting themes of self-discovery and the rejuvenating power of adventure. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/16389/pg16389.cover.medium.jpg,1,108|109|3|30|160|3|109|3|33,18,193,206,134,220,179
The Yellow Wallpaper,"""The Yellow Wallpaper"" by Charlotte Perkins Gilman is a short story written in the late 19th century, often associated with the feminist literature genre. The narrative explores the themes of mental illness, gender roles, and the constraints faced by women in a patriarchal society. It follows the mental deterioration of a woman who is confined to a room by her husband, who is also her physician, under the pretense of helping her recover from what he diagnoses as temporary nervous depression.  The story is presented as a series of journal entries written by an unnamed woman who is taken to a secluded mansion for rest cure. As she spends time in the nursery, she becomes increasingly obsessed with the room's yellow wallpaper, which she finds repulsive yet fascinating. Over time, she perceives a figure of a woman trapped within the wallpaper, reflecting her own feelings of oppression and entrapment. As the protagonist's isolation and desperation grow, she begins to identify with the figure, leading to a dramatic climax where she asserts her will by tearing down the wallpaper, ultimately rejecting the control her husband has over her life. The story is a powerful commentary on the struggles against patriarchal domination and the importance of self-identity and freedom. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/1952/pg1952.cover.medium.jpg,1,164|63|166|3|168|3|18|170|3,18,449,380,208,170,186
Cranford,"""Cranford"" by Elizabeth Cleghorn Gaskell is a novel written in the mid-19th century. The story unfolds in a small English village dominated by women, where men are conspicuously absent from social life. The narrative is rich with observations about the peculiar rituals, customs, and dynamics of the tight-knit community, primarily focusing on the lives of its female inhabitants, including the amiable and kind-hearted Miss Matty and the spirited Captain Brown, who disrupts their tranquil existence.  At the start of ""Cranford,"" we are introduced to the unique social structure of the village, characterized by its predominantly female residents who manage their affairs without the presence of men, aside from the occasional visitor. The opening chapter humorously details the societal norms and the unspoken rules that govern interactions, such as visiting etiquette and the preference for economy over ostentation. Key characters like the gentle Miss Matty and the charismatic Captain Brown are introduced, hinting at a deeper exploration of human relationships and character development as the story progresses. Through the eyes of the narrator, the reader gets a glimpse into the endearing quirks and camaraderie of the Cranford community, setting the stage for the unfolding tales of friendship, love, and social commentary that define this charming novel. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/394/pg394.cover.medium.jpg,1,31|3|160|3|176|3|178|34|3|181|3,25,68,420,295,86,310
Dracula,"""Dracula"" by Bram Stoker is a Gothic horror novel written in the late 19th century. The story unfolds through a series of letters, journal entries, and newspaper clippings, primarily following the experiences of Jonathan Harker, a young English solicitor. Harker’s journey takes him to Transylvania, where he encounters the enigmatic Count Dracula, setting a thrilling and mysterious tone that delves into themes of fear, seduction, and the supernatural.  The opening of the novel presents Jonathan Harker’s journal entries, marking the beginning of his travels to meet Count Dracula regarding a real estate transaction. Harker describes his train journey through the picturesque landscapes of eastern Europe, highlighting the eerie atmosphere and local superstitions that hint at the challenges he will face. Upon arriving at the Count's castle, Harker senses unease, especially when local villagers express concern and give him protective charms against evil spirits. The tension escalates as Harker meets Dracula, who, while courteous, exhibits strange and unsettling behavior. Kafkaesque and claustrophobic, the initial chapters effectively set the stage for Harker’s realization that he is trapped in Dracula’s world, creating an eerie, suspenseful foundation for the unfolding narrative. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/345/pg345.cover.medium.jpg,1,183|3|185|6|7|186|3|188|3|190|3,18,363,47,375,29,368
The Adventures of Ferdinand Count Fathom — Complete,"""The Adventures of Ferdinand Count Fathom"" by Tobias Smollett is a satirical novel written in the mid-18th century. The narrative follows the cunning and morally ambiguous character of Ferdinand Count Fathom, a man of mysterious parentage armed with an extraordinary talent for deception and manipulation. The story sets the stage for themes of vice and virtue, exploring Fathom’s escapades and schemes as he navigates a world ripe for exploitation.  The opening of the novel introduces Fathom in an unusual light—born under strange circumstances to a mother who flitted between roles in military encampments and armies. We explore the early influence of his mother, an adventurous and fierce figure whose exploits paint a picture of a wild and unrestrained environment. As Fathom grows, he exhibits a blend of charisma and villainy, drawing the attention of powerful patrons while developing ambitions of his own. With a sharp wit and an ability to adapt, he becomes both an object of admiration and contempt, preparing the reader for a complex journey through deceit, ambition, and the nature of morality. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/6761/pg6761.cover.medium.jpg,1,13|6,22,58,259,325,97,73
The Expedition of Humphry Clinker,"""The Expedition of Humphry Clinker"" by Tobias Smollett is a novel written during the mid-18th century. This humorous work explores the journey and misadventures of the Bramble family and their companions as they travel through Wales and England, providing a satirical glimpse into the social and cultural life of the time. The story is primarily told through a series of letters, offering a diverse range of perspectives from its characters, including the hypochondriac Matthew Bramble and his lively niece, Lydia Melford.  The opening of the novel introduces several key characters through a series of letters among various recipients. The narrative begins with Jonathan Dustwich, who writes to Mr. Henry Davis about his plans to publish a collection of letters, asserting the importance of their content. We also meet Matthew Bramble, who expresses his ailments and frustrations with familial responsibilities, alluding to troublesome interactions with his niece’s romantic interests. As they prepare for a trip to the Hot Well in Bristol, the Bramble family’s dynamic begins to unfold, hinting at both familial loyalty and the conflicts that arise from their contrasting personalities. Ultimately, the beginning sets the stage for a blend of comedy, social commentary, and insight into human relationships throughout their journey. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/2160/pg2160.cover.medium.jpg,1,185|122|3|194|3,28,297,311,343,436,169
"History of Tom Jones, a Foundling","""The History of Tom Jones, A Foundling"" by Henry Fielding is a novel written in the early 18th century. The narrative revolves around the life of Tom Jones, a foundling raised by the benevolent Squire Allworthy, exploring themes of morality, love, and social class. The story is rich in characters and details, illustrating the intricacies of human nature and society’s response to vice and virtue.  At the start of the novel, Fielding introduces Squire Allworthy as a compassionate and virtuous landowner who returns home from London to discover an infant boy, Tom, wrapped in linens in his bed. This event sets the stage for Tom's upbringing, as Allworthy decides to raise him as his own, despite the stigma attached to his illegitimate birth. The narrative also includes a humorous and philosophical commentary on human nature, inviting the reader to reflect on the follies and virtues of society through the interactions of characters like Allworthy, his sister Bridget, and the housekeeper Deborah. As Allworthy navigates the challenges of incorporating Tom into his life, the novel presents an exploration of how society views morality, innocence, and the social implications of being a ""bastard"" in a judgmental world. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/6593/pg6593.cover.medium.jpg,1,84|31|3|78|3|115|80|3|202|3,25,118,283,179,373,395
Crime and Punishment,"""Crime and Punishment"" by Fyodor Dostoyevsky is a novel written in the mid-19th century. The story delves into the psychological turmoil of its main character, Rodion Raskolnikov, a former student living in extreme poverty in St. Petersburg, as he grapples with morality, guilt, and the nature of crime. Raskolnikov's internal struggles and rationalizations set the stage for a broader exploration of existential questions and the consequences of one's choices.  At the start of the novel, readers are introduced to Raskolnikov, who, on a sweltering July evening, leaves his cramped garret, fueled by a mix of fear and dread. He is acutely aware of his troubled finances, particularly his debts to his landlady, which cultivate a sense of isolation and despair. As he wanders through the city's pungent streets, he reflects on his own cowardice and impotence while contemplating a deeply disturbing act he is contemplating. The opening scene captures Raskolnikov's increasingly fraught mental state, portraying him as both an intellectual and a tormented soul. Eventually, he visits an old pawnbroker, Alyona Ivanovna, where an unsettling encounter begins to unfold, hinting at the drastic actions he is considering. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/2554/pg2554.cover.medium.jpg,1,204|205|3|207|208|3|18|210|3,26,23,227,441,46,154
My Life — Volume 1,"""My Life — Volume 1"" by Richard Wagner is an autobiographical work written in the mid-19th century. This volume details the early years and formative experiences of the famed composer, from his childhood in Leipzig to his early professional endeavors around 1842. The book reflects on Wagner's family background, his introduction to music, and the influences that shaped his artistic journey.  The opening of this autobiographical account begins with Wagner’s birth and the immediate aftermath of his father's death, which left his family in difficult circumstances. He describes his stepfather's pivotal role in his upbringing and education, as well as the vibrant cultural environment he was immersed in, including his early encounters with the theatre and music. Throughout the narrative, Wagner recounts his childhood memories, the struggles with education, and the blossoming of his musical talent, which ultimately sets the stage for his future career as a composer. The reader is drawn into the emotions and aspirations of a young artist at the brink of discovering his calling, with significant events, relationships, and sentiments foreshadowing the remarkable life he would lead. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/5197/pg5197.cover.medium.jpg,1,212|213|214|215,20,435,155,433,230,121
"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","""A Modest Proposal"" by Jonathan Swift is a satirical essay written in the early 18th century. This work is a classic example of political satire and addresses the dire circumstances faced by the poor in Ireland during that period. The essay presents a shocking and extreme solution to poverty and overpopulation, proposing that impoverished Irish families sell their children as food to the wealthy.  In this ironic treatise, Swift employs a calm and logical tone to suggest that the solution to the plight of poor Irish mothers and their numerous children lies in the consumption of infants. He meticulously calculates the benefits of his proposal, including the economic advantages for families and the reduction of poverty. The essay critiques the British government’s neglect of the Irish population and the dehumanizing effects of colonialism, illustrating the absurdity of the social and economic conditions that lead to such a monstrous idea. Through this startling argument, Swift encourages readers to reflect on the inhumane treatment of the lower classes and the moral responsibilities of society. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/1080/pg1080.cover.medium.jpg,1,216|217|218|219|220|221,32,413,417,258,12,264
The Adventures of Roderick Random,"""The Adventures of Roderick Random"" by Tobias Smollett is a novel written in the early 18th century. The book follows the life and misadventures of Roderick Random, an orphan navigating a world rife with challenges, cruelty, and injustice. As he grows from a neglected child into a young man, Roderick's journey is marked by both comedic elements and social satire.  At the start of the novel, Roderick Random recounts his difficult birth into a life of hardship, beginning with the aversion of his wealthy grandfather to his parents' union. The narrative unfolds through a vivid portrayal of Roderick's childhood, where he faces animosity from his relatives and mistreatment at school. Despite his hardships, Roderick displays resilience and cunning, emboldened by friendships with fellow outcasts. He breaks free from his grim circumstances upon moving to a new setting, where an encounter with his uncle leads him to a supportive environment, setting the stage for his future adventures. Throughout this opening, readers are introduced to a world filled with humor, familial conflict, and early struggles as Roderick seeks a better existence amid adversity. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/4085/pg4085.cover.medium.jpg,1,31|3|224|3|226|227|3|229|3|231|31|3|19|234|3,26,424,360,427,445,310
Twenty years after,"""Twenty Years After"" by Alexandre Dumas and Auguste Maquet is a historical novel written in the mid-19th century. It serves as the sequel to ""The Three Musketeers"" and continues the adventurous saga of D'Artagnan and his friends—Athos, Porthos, and Aramis. This installment delves into their lives twenty years after the original tale, exploring themes of friendship, loyalty, and political intrigue against the backdrop of a tumultuous France.  At the start of ""Twenty Years After,"" the reader is introduced to the political discontent in France following the death of Cardinal Richelieu. Cardinal Mazarin, his successor, finds himself in troubling times marked by public outrage against the government. The opening scene is set in the Palais Royal where Mazarin contemplates his precarious position amidst rising unrest. We witness D’Artagnan, now older but no less courageous, as he prepares to navigate this new political landscape. The narrative unveils immediate tensions as D’Artagnan is called to assist Mazarin, and we see hints of past friendships and alliances which will come into play as tensions rise. This opening part lays the groundwork for an epic blend of action, political maneuvering, and the enduring camaraderie of the central characters. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/1259/pg1259.cover.medium.jpg,24|25,236|123|238|3,26,396,377,380,398,359
